handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
peacock-of-seaforde,Product,Peacock of Seaforde,"Original SOLDA4 £25A3 £40",86cb05_81383aafdeee4290b1d92a7bb502eb99~mv2.jpg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peacock-of-seaforde,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peacock-of-seaforde,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rathlin-island-puffins,Product,Rathlin Island Puffins,"Original SOLDA4 £25A3 £40",86cb05_3330bfd2c7d64b1194098e3527d8604e~mv2.jpg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rathlin-island-puffins,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rathlin-island-puffins,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strangford-lough,Product,Strangford Lough,"Original SOLDA4 £25A3 £40",86cb05_8e8041518adb4794a029846575653ebf~mv2.jpg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strangford-lough,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strangford-lough,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heron,Product,A Heron’s Dream,"Original SOLDA4 £25A3 £40",86cb05_c2a18fa190e848b6a81667b2f8d921e1~mv2.jpg,Dreamscapes Collection,,,25.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,A4 (£25);A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heron,Variant,,,,,,,,,true,,,InStock,,,,,A4 (£25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heron,Variant,,,,,,,,15.0,true,,,InStock,,,,,A3 (£40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
